upi_id,amount,transaction_id,timestamp,merchant,is_fraud
48,14370,txn_1,2024-01-01 00:00:00,Merchant C,0
93,12911,txn_2,2024-01-01 01:00:00,Merchant A,0
7,7944,txn_3,2024-01-01 02:00:00,Merchant A,0
70,12200,txn_4,2024-01-01 03:00:00,Merchant A,0
58,15729,txn_5,2024-01-01 04:00:00,Merchant C,0
14,23276,txn_6,2024-01-01 05:00:00,Merchant B,1
82,6739,txn_7,2024-01-01 06:00:00,Merchant C,0
86,15914,txn_8,2024-01-01 07:00:00,Merchant C,0
73,35241,txn_9,2024-01-01 08:00:00,Merchant B,1
73,19124,txn_10,2024-01-01 09:00:00,Merchant A,0
87,48448,txn_11,2024-01-01 10:00:00,Merchant A,1
2,34530,txn_12,2024-01-01 11:00:00,Merchant C,1
17,10168,txn_13,2024-01-01 12:00:00,Merchant A,0
23,10555,txn_14,2024-01-01 13:00:00,Merchant C,0
15,17261,txn_15,2024-01-01 14:00:00,Merchant C,0
49,47046,txn_16,2024-01-01 15:00:00,Merchant B,1
12,3813,txn_17,2024-01-01 16:00:00,Merchant B,0
87,28025,txn_18,2024-01-01 17:00:00,Merchant B,1
24,27286,txn_19,2024-01-01 18:00:00,Merchant C,1
32,26901,txn_20,2024-01-01 19:00:00,Merchant B,1
12,1606,txn_21,2024-01-01 20:00:00,Merchant A,0
61,5623,txn_22,2024-01-01 21:00:00,Merchant A,0
57,6768,txn_23,2024-01-01 22:00:00,Merchant C,0
14,27140,txn_24,2024-01-01 23:00:00,Merchant C,1
27,11614,txn_25,2024-01-02 00:00:00,Merchant B,0
74,10590,txn_26,2024-01-02 01:00:00,Merchant C,0
54,13919,txn_27,2024-01-02 02:00:00,Merchant C,0
15,20120,txn_28,2024-01-02 03:00:00,Merchant A,1
88,27447,txn_29,2024-01-02 04:00:00,Merchant A,1
44,13047,txn_30,2024-01-02 05:00:00,Merchant B,0
91,24819,txn_31,2024-01-02 06:00:00,Merchant C,1
55,35359,txn_32,2024-01-02 07:00:00,Merchant C,1
37,4325,txn_33,2024-01-02 08:00:00,Merchant A,0
92,10788,txn_34,2024-01-02 09:00:00,Merchant C,0
57,9112,txn_35,2024-01-02 10:00:00,Merchant A,0
79,38111,txn_36,2024-01-02 11:00:00,Merchant B,1
7,16390,txn_37,2024-01-02 12:00:00,Merchant A,0
59,41428,txn_38,2024-01-02 13:00:00,Merchant C,1
59,14044,txn_39,2024-01-02 14:00:00,Merchant B,0
42,28747,txn_40,2024-01-02 15:00:00,Merchant A,1
